review_id,user_name,rating,content,date,category
f384f0c2-145b-4b9c-9844-bdeba99d8950,Karen Calfin,2,"I love this game, but lately, it's had a lot of glitches. I purposely complete a building so that there aren't any coins left to steal. Lately, I complete it, but come back the next day, and it's not completed, and I've had millions stolen from me. Other glitches include the button getting stuck when doing a raid. UPDATE: I've been experiencing different glitches now. I have the most updated version. I have reached out to support several times, but never hear back.",2024-11-15,Uncategorized
3fe33a5d-1c3f-425e-ada6-d55fbbeaee84,Carnage Incarna,1,"""Play"" for 5 mins. You actually only play for like 10 seconds of that. Everytime you open the game it takes over a minute to start. There is about 20 pop ups in the game... not even adds this is the ""Game"". Has an Auto-Roll... after like 2 rolls multiple pop ups go off and then you have to turn on the Auto again. The ""Game"" is unplayable because again in 5 minutes of playing over 4 minutes is just closing out pop ups",2024-11-12,Uncategorized
6cc9d76b-6766-4c6d-b1c4-37e2e6f7023e,Shana Buford,2,"UPDATE This game cheats. Several times I was supposed to be awarded with coins or rolls, but after the animation is over, nothing has been awarded! I hate cheating games!!! This game is super addictive. I love that I can either play to my hearts' content or wait a few hours for a good amount of turns. They are also available in the Google Play store rewards, so you can use points to get the stuff on sale in the app. Customer Service seems responsive too, no complaints so far.",2024-11-12,Uncategorized
150fe859-038b-4712-ad69-5b4b28361031,Bryan White,3,I like this game a lot and can say I'm happily addicted the reason I give 3 stars is because I'm beyond annoyed with the pop up advertising for spending more money Everytime I run out of rolls. It's nice to be reminded that options are available but not every single time you roll. It's very annoying to have to exit out of 4 ads Everytime I run out of rolls and they seem to be purposely timed to create eagerness and prey on impatience in order to get more people to pay. Please change this.,2024-11-11,Uncategorized
b9aef211-13e7-4f53-af89-b2715986dee8,Eileen,5,The graphics are excellent and game play moves along at a brisk pace. Pricey.👍 Update rewards are satisfying. I'd like to have a fifteen minutes unlimited rolls as a roll reward once a day. And make Free Rolls earn free rolls. Just give us more rolls. No way we can finish challenges or missions without spending $$ we don't have. Rewards are more generous so far today. Keep up the momentum.,2024-11-14,Uncategorized
44ad23fa-4ccc-4937-948c-aa5a2cb3a254,Tracey W,4,"Occasional glitches but still a fun game. Glitches generally get worked out fairly quickly and if it caused you to miss rewards or prizes, just reach out to support. It may take a couple of days for them to get back to you but they're pretty good about resolving most issues. My biggest problem is not being able to send images to support in app. There's no option to allow it in permissions. I'm using a Galaxy S21, this causes me to eat $ sometimes because I don't have the patience to email.",2024-11-11,Uncategorized
021902b5-3bf4-4b0c-a826-3bd8d16b682b,WILL SMITH,2,"The game gets boring really fast after you get up a few levels. IMO, it takes too long to reload lives. You do more waiting on reloading lives than actual game play. There's way too many pop-ups asking to pay for coin/ lives. I gave those 2 stars because there are no commercials You wait a whole day for a full reloading of lives and you're lucky if half your rolls hit anything or enough to build. Deleted game! 3 days of basically waiting for dice rolls and little play time.",2024-11-14,Uncategorized
71304ade-ea48-4ba4-a3ef-d6e89a3fcefa,Lee Ann Galliano,3,My favorite games but just all of a sudden I try to ok play but for some reason may play no longer than a minute and screen go BK to original phone screen or I'll even try restarting phone still at times just past week can't play 5 seconds before it just either crashes or just want work at all anymore. Please like to keep playing my favorite game if I only could so plz lmk what I can do and fix the problem would be great. Feel like I'm missing out whenever I can't play so help me fix this please,2024-11-14,Uncategorized
531fbc00-cd1d-46bd-a7e0-fb7cc187ff1b,Tamatha Wood,5,So fun..I love the mini game...I just wish you got more rolls..very addictive..need way to win more rolls..so addictive. Update: OK I've been playing for a while and the amount of money you have to spend to complete the albums is just to much I think ..and some of trails are just impossible to complete.,2024-11-14,Uncategorized
f05d52b0-4651-4f1c-ac46-fe4bf47a5ad6,oluoma marble obisike-oji,1,"Not Very user friendly. Tournaments are quite short lived and very competitive. It's an online game and user interactive. The peons are cute, especially when they're running away from an attack. The rolls take quite a bit of time to refill but free rolls come from random places. It's a fun pass time and engaging. The last album tournament felt very rigged against the player. The game is currently less user friendly and it's becoming a drag",2024-11-13,Uncategorized
43a49587-2adc-403e-8ff7-8b3a16ecb0ff,Debbie Barrett,5,it's an addictive game...fun and challenging. I've been playing for a bit now and have had glitches that took my earnings away. Ingot no reward. Also the cards that are at the start of every kingdom are the same. I want to be rewarded for continuing to play. You need to do better with giving us the necessary cards gold and ss ones too. I need more chances at earning dice. Also Album party mission should not be loaded with simulatsneous high diamond rewards...for instance 1.9k for 1900 dia,2024-11-16,Uncategorized
22839658-845b-437b-8e53-b2b944e74591,Seek N Destroy,3,"It's a fun game, however it's very glitchy. I had over 1100 coins for the trail event, and half the time when I press spin, it freezes. I lose the coins for the spin but I don't move on the trail. Very disappointing when I spend money to get the coins for the event and I cant use them.",2024-11-12,Uncategorized
9209b452-26b7-495a-a53b-6a1c776cc634,Hilda Lewis,2,"I have been playing this game for over a year now. It is over all a fun game, but the more they update it the more bugs there are. The most recent update has caused my game to not load all the way to where I have to back out and open the app again, and if I one time I didn't realize that it didn't load everything and I missed out on getting everything done for my team. Because my team didn't load so I didn't get credited for anything at all help please.",2024-11-15,Uncategorized
ba3ca9f9-fd6b-4184-9919-f2be97c992f6,Daniel Costine,3,Great game but I currently have a problem with not receiving my rewards for the tournament event. I've contacted you on the matter and would appreciate it if you could resolve the issue please. I've contacted you 4 times now about my issue of not receiving my rewards with no response. It's now 2 days later so I'm going to downgrade to a 3 star until this issue is resolved and will change it if resolved.,2024-11-12,Uncategorized
499a29db-56f4-47e1-b388-1452b9d68f64,Cooper McCann,3,"Would like to enjoy this game more.... It takes a long time to load, which could be forgiven. Has continual and repeated pop-ups and the Graphics are slow to liad/transition so you end up wasting quite a bit of time waiting for stuff to happen.",2024-11-13,Uncategorized
d3849eda-fead-4227-ace1-8586ab453a80,Valerie Gabriel,5,10/26/24: Love this game! Play every chance I get! Suggestion: NEED another option for saving progress. I'm farther than ever and unable to save because FB was hacked2nHad to restart from beginning. PLEASE I don't want to lose my time and effort getting this far,2024-11-12,Uncategorized
840df329-8749-41e3-920c-c2fc9d620bde,Dawnni norvince,4,"Cool game and kind of neat to play and build, BUT while you play trails in the game the dice you win don't carry over to the get and I can't figure how to get to use them, and a lot of times you will win coins and they look like they are going to the pot , but they are not. I won 500,000 and not one coin entered into my pot this happens A lot",2024-11-15,Uncategorized
0ff2b273-64f2-423b-8d3d-95eae385af84,C Holt,1,Been trying to play for 2 months can't get past level 8 and it was a struggle to get that far. I have updated every time. I start the game and it crashes as soon as I can start rolling my dice ??????,2024-11-13,Uncategorized
d69c6f84-6a6d-4a61-9525-d2eaa6c3f34f,Karrie Ann,1,I left a review. You suggest I reach out. I have sent SEVEN emails in 10 days with no response. All screenshots are attached to the emails. I am now missing rewards from over a week ago and will probably never see them. I will not spend anymore money until I get some results. This is absolutely insane. Customer service is a joke!!,2024-11-15,Uncategorized
2d7dd950-88ba-4d15-8a0d-4245b63f1de5,Connie Hodge,5,"This game is very cute..it kept me playing for almost an hour before my rolls ran out..and NO ADS!!!solid 5star.I did have to almost start over when I linked to Facebook, from an older account I had previously.sometimes game glitches,but fixes itself.",2024-11-15,Uncategorized
b22d5f0c-4262-4b33-9682-c49ef2ad15f6,Tawni Silva,1,"This game used to be very fun and keep your mind busy but due to major issues that the developers don't seem to care to fix or acknowledge, are in gonna be involved with a lawsuit with the money alot of people have spent due to having high hopes with game. But are scammed due to Game constantly freezing and closing out on times a reward is earned. I've messaged cs support but auto generated responses with no satisfying resolution. I'VE ALREADY EMAILED THEM, ""JM"" SPECIFICALLY, NO HELP WHATSOEVER",2024-11-11,Uncategorized
